Archivo,f en pantalla (Hz),f oscilosc.(Hz),f Matlab (Hz)
TEK00000.dat,31250,31250,31237
TEK00001.dat,15625,15625,15618
TEK00002.dat,7813,7811,7812.8
TEK00003.dat,3472,3472.2,3472.3
TEK00004.dat,1645,1644.7,1644.7
TEK00005.dat,781,781.1,781.2239
TEK00006.dat,372,372,372.0964
TEK00007.dat,178,178.6,177.941
TEK00008.dat,85,84.74,95.0867
TEK00009.dat,40,40.65,40.3429
TEK000010.dat,19,19.01,18.988
TEK000011.dat,9,9.17,9.2004
TEK000012.dat,4,4.405,4.3975
TEK000013.dat,2,2.00003,2.0002
TEK000014.dat,1,1.00002,1
